"variable,question_text,description,type,values"
"consent,""I am 18+ and consent to take part. I understand anonymised data will be published openly."",""Consent to participate and allow anonymised data to be published."",""categorical"",""Yes"""
"prolific_id,""Please enter your Prolific ID (this is required to receive payment)."",""Unique Prolific participant identifier."",""text"",""Free text"""
"ai_tools_frequency,""How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life?"",""Frequency of using AI-powered or digital tools in daily life."",""categorical"","""""
"hours_online_per_day,""On average, how many hours do you spend online each day? (self-estimate)"",""Estimated number of hours spent online per day."",""numeric"",""Self-estimated hours per day"""
"ai_decision_help_often,""I often use AI tools to help me make decisions, even for everyday choices."",""Frequency of using AI tools to assist with everyday decision-making."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_decision_confidence_with_ai,""I feel more confident in my decisions when an AI tool supports my thinking."",""Confidence in decisions when supported by AI tools."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_decision_reliance_when_difficult,""I tend to rely on AI tools when making decisions feels difficult."",""Tendency to rely on AI tools when decision-making feels difficult."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_decision_check_before_finalising,""I prefer to check my ideas with AI before finalising an important decision."",""Preference for checking ideas with AI before finalising important decisions."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_decision_clarity_when_unsure,""AI can be helpful for giving me clarity when I'm unsure what choice to make."",""Perceived value of AI tools for providing clarity when uncertain about choices."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_second_guessing,""I've started second-guessing my own judgement more than I used to."",""Extent to which AI use is associated with increased second-guessing of one’s own judgement."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_doubt_when_disagree,""If AI gives a different answer to mine, I sometimes wonder whether I might be mistaken."",""Degree of doubt in personal judgement when AI-generated answers differ."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_check_thinking_track,""I use AI tools to check whether my thinking is on the right track."",""Use of AI tools to validate or check personal thinking."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_pause_to_check,""I tend to pause before acting so I can check what an AI tool suggests."",""Tendency to pause actions in order to consult AI suggestions first."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_decision_check_for_importance,""For important decisions, I feel more comfortable checking an AI tool as part of my process."",""Comfort with including AI tools as part of the process for important decisions."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_change_decision_feeling,""Using AI regularly has changed the way I feel about making decisions on my own."",""Perceived change in feelings about independent decision-making due to AI use."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_reflection_amount,""I think about how much AI might be influencing my decisions."",""Frequency of reflecting on the extent of AI influence on decisions."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_persuasive_effect,""I feel that AI suggestions can be persuasive, even when I try to rely on my own intuition."",""Perceived persuasiveness of AI suggestions relative to personal intuition."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_separate_judgement,""I need to take a moment to separate my own judgement from AI suggestions."",""Need to consciously separate personal judgement from AI-generated suggestions."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_concern_over_reliance,""Even when AI is helpful, I'm aware that relying on it too much may not be ideal for me long-term."",""Awareness of potential long-term downsides of over-relying on AI tools."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_independence_without_ai,""I feel more independent when I make decisions without using AI."",""Perceived independence when making decisions without AI support."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_decision_thinking,""AI tools influence how I think about my decisions."",""Perceived influence of AI tools on how decisions are thought about or framed."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_reflect_shaping,""I occasionally reflect on whether AI is shaping my decision-making style."",""Frequency of reflecting on whether AI is shaping one’s decision-making style."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_conflict,""I feel conflicted about how much influence AI has on me."",""Level of inner conflict about the degree of AI influence on oneself."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_influence_strength_of_conviction,""I generally trust my own judgement, but AI tools can sometimes affect how strongly I feel about a choice."",""Extent to which AI tools affect strength of conviction in personal decisions."",""numeric"",""1–7 (standard Likert agreement scale)"""
"open_text_ai_decision_example,""Describe a recent moment where you relied on an AI tool to help you make a decision — big or small. What made you turn to AI instead of deciding on your own?"",""Open-ended description of a recent decision where an AI tool was used and reasons for choosing AI support."",""text"",""Free text"""
"trust_ai_to_act_in_best_interests,""How much do you trust AI systems to act in your best interests?"",""Level of trust that AI systems act in the participant’s best interests."",""numeric"",""1–7 (standard Likert scale)"""
"what_matters_most,""How clear do you feel about what matters most in your life right now?"",""Self-rated clarity about what matters most in life."",""numeric"",""1–7 (standard Likert scale)"""
"digital_life_effect_on_focus,""How much does modern digital life affect your ability to focus, decide, or think clearly?"",""Perceived impact of digital life on focus, decision-making, and clear thinking."",""numeric"",""1–7 (standard Likert scale)"""
